utterance,intent
what is my balance,check_balance
show my balance,check_balance
check savings balance,check_balance
how much money do i have,check_balance
tell me my account balance,check_balance
balance in my account,check_balance
current balance please,check_balance
what is the balance in savings,check_balance

transfer money to friend,transfer_money
send money,transfer_money
transfer 500 rupees,transfer_money
send 1000 to my friend,transfer_money
move money to savings,transfer_money
transfer funds,transfer_money
pay 200 rupees,transfer_money
send cash to account,transfer_money

block my card,card_block
my card is lost,card_block
disable my debit card,card_block
freeze my card,card_block
stop my card immediately,card_block
lock my credit card,card_block
i lost my debit card,card_block
cancel my card,card_block
